Taxon,Latitude,Longitude
Orthaea_oedipus,5.667,-76.333
Orthaea_oedipus,6.516667,-76.31667
Orthaea_oedipus,6.516667,-76.31667
Orthaea_oedipus,6.533333,-76.31667
Orthaea_oedipus,6.519194,-76.252333
Orthaea_oedipus,5.833,-76.25
Orthaea_oedipus,6.53889,-76.2475
Orthaea_oedipus,5.8388,-76.233459
Orthaea_oedipus,5.8388,-76.233459
Orthaea_oedipus,6.483333,-76.23333
Orthaea_oedipus,4.954741,-76.134403
Orthaea_oedipus,5.160194,-76.023111
Orthaea_oedipus,5.160194,-76.023111
Orthaea_oedipus,5.417,-75.9
Orthaea_oriens,-3.983,-79.067
Orthaea_oriens,-3.966667,-79.06667
Orthaea_oriens,-3.988611,-79.02056
Orthaea_oriens,-4.004856,-79.020073
Orthaea_oriens,-4.006312,-79.014666
Orthaea_oriens,-3.133,-78.55
Orthaea_oriens,-3.173939,-78.495519
Orthaea_oriens,-2.77646,-78.4562
Orthaea_oriens,-0.85,-77.667
Orthaea_oriens,-0.717,-77.6
Orthaea_oriens,-0.767,-77.433
Orthaea_panamensis,8.75,-82.25
Orthaea_panamensis,8.5,-81.167
Orthaea_panamensis,8.517,-81.167
Orthaea_panamensis,8.533,-81.117
Orthaea_panamensis,8.5,-81.11667
Orthaea_panamensis,8.633333,-80.63333
Orthaea_weberbauerii,-13.07861,-72.39028
Orthaea_weberbauerii,-13.07861,-72.39028
Orthaea_weberbauerii,-12.97944,-72.03583
Orthaea_weberbauerii,-14.655,-68.96306
Orthaea_weberbauerii,-14.63083,-68.96028
Orthaea_weberbauerii,-14.63083,-68.96028
Orthaea_weberbauerii,-14.63861,-68.95917
Orthaea_weberbauerii,-14.633,-68.95
Orthaea_weberbauerii,-14.633,-68.95
Orthaea_weberbauerii,-15.51872,-68.37808
Orthaea_weberbauerii,-16.13333,-68.1
Orthaea_weberbauerii,-16.117,-68.083
Orthaea_weberbauerii,-16.31322222,-67.81733333
Orthaea_weberbauerii,-16.3,-67.81667
Orthaea_weberbauerii,-16.367,-67.533
Orthaea_weberbauerii,-16.333,-67.533
Orthaea_weberbauerii,-16.333,-67.533
Orthaea_weberbauerii,-16.317,-67.5
Orthaea_weberbauerii,-16.183,-66.9
